tipo,seccion,titulo,subtitulo,url,thumbnail,fecha,medio,fecha_registro
articulo,/politica/elecciones/,Keiko Fujimori promete “terminar de vacunar a todos los peruanos antes de fin de año” con apoyo del sector privado,"En CADE Electoral, la lideresa de Fuerza Popular indicó no tener “ningún trauma ideológico” en contra de las empresas privadas y consideró que su...",https://elcomercio.pe/politica/elecciones/keiko-fujimori-promete-terminar-de-vacunar-a-todos-los-peruanos-antes-de-fin-de-ano-con-ayuda-de-la-empresa-privada-cade-electoral-fuerza-popular-coronavirus-nndc-noticia/,https://elcomercio.pe/resizer/htPyFk9_fl7v7MPls8lPuDt4P3A=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/ATBKQLVIHFBDNLFCZWSICY72OQ.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/elecciones-2021/,Verónika Mendoza: El gobierno no puede estar mendigando un balón de oxígeno en plena pandemia,La lideresa del partido Juntos por el Perú indicó que se debe incrementar el PBI en el sector salud.,https://elcomercio.pe/elecciones-2021/elecciones-2021-veronika-mendoza-el-gobierno-no-puede-estar-mendigando-un-balon-de-oxigeno-en-plena-pandemia-nndc-noticia/,https://elcomercio.pe/resizer/iNGVn34a5TnvFCsM9znizrL6_8k=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/ESQ76SJWXNCSDP7EZJETIGBKHQ.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/elecciones-2021/,"George Forsyth sobre vacunación contra la COVID-19: “La empresa tiene que apoyar, pero no para lucrar”",El candidato presidencial de Victoria Nacional consideró que las empresas privadas deben ayudar al Estado vacunando a sus trabajadores.,https://elcomercio.pe/elecciones-2021/george-forsyth-sobre-vacunacion-contra-la-covid-19-la-empresa-tiene-que-apoyar-pero-no-para-lucrar-nndc-noticia/,https://elcomercio.pe/resizer/tzmd7LPME-t_6r_Pq385xNmZ_PQ=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/ZYAPQGPY55GQRMGASVQUHU2TDU.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/elecciones-2021/,Julio Guzmán sobre proceso de vacunación: Vamos a crear al zar de las vacunas para que reporte directamente al presidente,El líder del Partido Morado resaltó que se debe declarar como prioridad nacional “la vacunación de todos los peruanos hasta el 31 de diciembre de...,https://elcomercio.pe/elecciones-2021/elecciones-2021-julio-guzman-vamos-a-crear-al-zar-de-las-vacunas-con-rango-ministerial-para-que-no-haya-descoordinacion-vacuna-sinopharm-nndc-noticia/,https://elcomercio.pe/resizer/2hQyxiQJwPZEeAFsYa10McsxN4U=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/A5FAGN6XVJFXNOK4H7BOJZAF6U.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/elecciones-2021/,El pequeño círculo de Yonhy Lescano: ¿a quién escucha el candidato presidencial de Acción Popular?,"A diferencia de los candidatos de otros partidos, el aspirante de Acción Popular mantiene un entorno reducido con el que se ha venido manejando d...",https://elcomercio.pe/elecciones-2021/elecciones-2021-el-pequeno-circulo-de-confianza-de-yonhy-lescano-a-quienes-escucha-el-candidato-presidencial-accion-popular-noticia/,https://elcomercio.pe/resizer/6xvOKMY6CGguI-vGl3nrtgCgcJA=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/2YPRC75DOZHXBKMI2PKZLD4DC4.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/elecciones-2021/,Los círculos íntimos de cinco candidatos: ¿a quiénes escuchan los aspirantes a la presidencia? | Elecciones 2021,"Algunos más visibles que otros, personas de la entera confianza de los postulantes a las elecciones del 2021 trabajan codo a codo con ellos en la...",https://elcomercio.pe/elecciones-2021/elecciones-2021-george-forsyth-julio-guzman-keiko-fujimori-alberto-beingolea-veronika-mendoza-los-circulos-intimos-de-cinco-candidatos-a-quienes-escuchan-los-aspirantes-a-la-presidencia-aptz-noticia/,https://elcomercio.pe/resizer/06g8nUWSQKOjTOAs60rjNvQyj5o=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/JRGMVIHT2NG7TGMANQUCXAREGY.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/politica/opinion/,Aversión más que desafección,Hay tanto en juego en esta elección que muchos (me incluyo) esperará a recaudar la mayor información posible para tomar una decisión.,https://elcomercio.pe/opinion/aversion-mas-que-desafeccion-la-columna-de-omar-awapara-noticia/,https://elcomercio.pe/resizer/khgCceMofMeg3NfAQR-mSRrDKF8=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/EBT2AZDUONH3XJBT7PRFSI754E.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/politica/,George Forsyth: “Podía ser 10 años alcalde de La Victoria y no iba a poder cambiarla más porque no funciona el Estado”,El candidato presidencial de Victoria Nacional consideró que el  Ejecutivo no está “gastando bien” los recursos públicos y aseguró que un eventua...,https://elcomercio.pe/politica/george-forsyth-podia-ser-10-anos-alcalde-de-la-victoria-y-no-iba-a-poder-cambiarla-mas-porque-no-funciona-el-estado-nndc-noticia/,https://elcomercio.pe/resizer/YMQnk3v_J2H0_vXf4NUsfA1UY5o=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/MQ6YDXDIQVAYBG33WXDNT7BENA.jfif,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/respuestas/,ONPE: ¿cómo saber mi local de votación para las elecciones de abril?,"¿Dónde me toca votar? A menos de dos meses para las elecciones generales del año 2021 en el Perú, conoce aquí dónde votar, además si serás miembr...",https://elcomercio.pe/respuestas/elecciones-2021-como-saber-mi-local-de-votacion-para-las-proximas-elecciones-generales-donde-votar-peru-nnda-nnlt-noticia/,https://elcomercio.pe/resizer/NW3qM3s7ZDUoqPcZ19FpiRIATag=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/MT5QBLW5GRBFDHYSEV7ZTLGQTI.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/politica/elecciones/,Jefes de plan de gobierno de Fuerza Popular y Podemos Perú debatieron en El Comercio,El encuentro entre los también candidatos al Congreso Hernando Guerra García y Carlos Anderson fue transmitido en vivo en el Facebook de El Comer...,https://elcomercio.pe/elecciones-2021/elecciones-2021-jefes-de-plan-de-gobierno-de-fuerza-popular-y-podemos-peru-debatiran-este-miercoles-en-el-comercio-noticia/,https://elcomercio.pe/resizer/QmL-y0gzKPNFecu_InDJ6oauG3w=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/DAEOB6ZF5ZDLVAKVUZZYYJCH6I.png,17/02/2021,elcomercio,2021-02-18 00:06:26
